Date,Time,Transaction_ID,Customer_ID,Product_Service_Name,Category,Subcategory,Brand,Price
2024-01-15,09:30:00,TXN001,CUST101,Coffee Maker,Electronics,Kitchen Appliances,BrewMaster,89.99
2024-01-15,10:45:00,TXN002,CUST102,Running Shoes,Apparel,Footwear,SportPro,120.00
2024-01-15,11:20:00,TXN003,CUST103,Laptop Bag,Accessories,Bags,TechGear,45.50
2024-01-15,14:15:00,TXN004,CUST101,Wireless Mouse,Electronics,Computer Accessories,TechGear,25.99
2024-01-15,15:30:00,TXN005,CUST104,Yoga Mat,Sports,Fitness,FitLife,35.00
2024-01-16,08:00:00,TXN006,CUST105,Protein Powder,Health,Supplements,NutriMax,55.00
2024-01-16,09:15:00,TXN007,CUST106,Office Chair,Furniture,Office,ErgoComfort,299.99
2024-01-16,10:30:00,TXN008,CUST102,Water Bottle,Accessories,Drinkware,HydroLife,18.50
2024-01-16,12:00:00,TXN009,CUST107,Smartphone Case,Electronics,Mobile Accessories,ShieldTech,22.99
2024-01-16,13:45:00,TXN010,CUST108,Headphones,Electronics,Audio,SoundWave,149.99
2024-01-17,09:00:00,TXN011,CUST103,Desk Lamp,Furniture,Lighting,BrightSpace,42.00
2024-01-17,10:20:00,TXN012,CUST109,Backpack,Accessories,Bags,TravelPro,75.00
2024-01-17,11:45:00,TXN013,CUST110,Blender,Electronics,Kitchen Appliances,BrewMaster,68.50
2024-01-17,14:00:00,TXN014,CUST104,Dumbbells Set,Sports,Fitness,FitLife,95.00
2024-01-17,16:30:00,TXN015,CUST111,Notebook,Stationery,Office Supplies,WritePro,12.99
2024-01-18,08:30:00,TXN016,CUST105,Vitamins,Health,Supplements,NutriMax,28.00
2024-01-18,09:45:00,TXN017,CUST112,Monitor Stand,Furniture,Office,ErgoComfort,49.99
2024-01-18,11:00:00,TXN018,CUST106,Travel Mug,Accessories,Drinkware,HydroLife,24.99
2024-01-18,13:30:00,TXN019,CUST113,Tablet,Electronics,Mobile Devices,TechGear,329.00
2024-01-18,15:00:00,TXN020,CUST107,Wireless Earbuds,Electronics,Audio,SoundWave,89.99
2024-01-19,09:00:00,TXN021,CUST114,Standing Desk,Furniture,Office,ErgoComfort,399.99
2024-01-19,10:30:00,TXN022,CUST108,Sneakers,Apparel,Footwear,SportPro,95.00
2024-01-19,12:00:00,TXN023,CUST115,Keyboard,Electronics,Computer Accessories,TechGear,79.99
2024-01-19,14:15:00,TXN024,CUST109,Resistance Bands,Sports,Fitness,FitLife,22.50
2024-01-19,16:00:00,TXN025,CUST110,Air Purifier,Electronics,Home Appliances,PureAir,159.99
2024-01-20,08:45:00,TXN026,CUST111,Pen Set,Stationery,Office Supplies,WritePro,18.99
2024-01-20,10:00:00,TXN027,CUST116,Protein Bars,Health,Supplements,NutriMax,32.00
2024-01-20,11:30:00,TXN028,CUST112,Webcam,Electronics,Computer Accessories,TechGear,69.99
2024-01-20,13:00:00,TXN029,CUST117,Lunch Box,Accessories,Containers,EcoBox,15.50
2024-01-20,15:30:00,TXN030,CUST113,Smart Watch,Electronics,Wearables,TechGear,249.99
